TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Houston Rockets,108.8,105.3,3.5,0.564,2012-13
Indiana Pacers,103.4,99.0,4.4,0.521,2012-13
Los Angeles Clippers,109.8,102.8,6.9,0.557,2012-13
Los Angeles Lakers,107.0,105.9,1.1,0.548,2012-13
Memphis Grizzlies,103.6,99.1,4.5,0.514,2012-13
Miami Heat,111.4,103.2,8.2,0.588,2012-13
Milwaukee Bucks,102.5,104.2,-1.7,0.51,2012-13
Minnesota Timberwolves,101.8,104.0,-2.2,0.516,2012-13
New Orleans Hornets,104.5,108.9,-4.4,0.528,2012-13
New York Knicks,109.8,105.4,4.5,0.55,2012-13
Oklahoma City Thunder,111.0,101.2,9.9,0.58,2012-13
Orlando Magic,100.9,108.4,-7.4,0.514,2012-13
Philadelphia 76ers,101.0,104.7,-3.7,0.509,2012-13
Phoenix Suns,100.2,106.9,-6.7,0.512,2012-13
Portland Trail Blazers,104.5,107.9,-3.4,0.536,2012-13
Sacramento Kings,105.3,110.0,-4.7,0.532,2012-13
San Antonio Spurs,107.0,100.3,6.7,0.568,2012-13
Toronto Raptors,105.0,106.4,-1.4,0.532,2012-13
Utah Jazz,105.4,105.6,-0.2,0.533,2012-13
Washington Wizards,99.3,101.6,-2.3,0.512,2012-13
Atlanta Hawks,104.9,105.7,-0.7,0.554,2013-14
Boston Celtics,101.9,106.5,-4.6,0.517,2013-14
Brooklyn Nets,105.4,106.7,-1.3,0.555,2013-14
Charlotte Bobcats,103.0,103.3,-0.4,0.522,2013-14
Chicago Bulls,101.7,99.9,1.9,0.518,2013-14
Cleveland Cavaliers,103.5,107.0,-3.6,0.518,2013-14
Dallas Mavericks,109.5,107.2,2.3,0.564,2013-14
Denver Nuggets,105.1,107.3,-2.2,0.536,2013-14
Detroit Pistons,105.2,109.0,-3.7,0.514,2013-14
Golden State Warriors,106.3,101.4,4.9,0.55,2013-14
Houston Rockets,109.8,105.2,4.6,0.571,2013-14
Indiana Pacers,103.6,98.9,4.7,0.535,2013-14
Los Angeles Clippers,111.3,104.0,7.3,0.567,2013-14
Los Angeles Lakers,103.2,109.3,-6.0,0.542,2013-14
Memphis Grizzlies,105.5,103.8,1.7,0.529,2013-14
Miami Heat,110.0,105.0,5.1,0.59,2013-14
Milwaukee Bucks,101.9,110.2,-8.3,0.519,2013-14
Minnesota Timberwolves,107.7,105.2,2.6,0.535,2013-14
New Orleans Pelicans,106.2,109.1,-3.0,0.537,2013-14
New York Knicks,107.0,108.1,-1.1,0.541,2013-14
Oklahoma City Thunder,109.4,103.0,6.4,0.566,2013-14
Orlando Magic,101.0,106.6,-5.7,0.525,2013-14
Philadelphia 76ers,99.0,109.0,-10.0,0.51,2013-14
Phoenix Suns,108.2,105.6,2.6,0.558,2013-14
Portland Trail Blazers,110.4,106.2,4.2,0.548,2013-14
Sacramento Kings,105.1,107.8,-2.7,0.532,2013-14
San Antonio Spurs,109.5,101.4,8.1,0.571,2013-14
Toronto Raptors,107.9,104.6,3.3,0.545,2013-14
Utah Jazz,102.4,110.1,-7.6,0.523,2013-14
Washington Wizards,104.9,103.6,1.3,0.538,2013-14
Atlanta Hawks,108.2,102.3,5.9,0.563,2014-15
Boston Celtics,103.8,103.5,0.3,0.523,2014-15
Brooklyn Nets,103.4,106.3,-3.0,0.529,2014-15
Charlotte Hornets,99.6,103.0,-3.4,0.498,2014-15
Chicago Bulls,106.3,103.3,3.0,0.536,2014-15
Cleveland Cavaliers,110.1,105.3,4.8,0.557,2014-15
Dallas Mavericks,108.2,104.9,3.2,0.55,2014-15
Denver Nuggets,103.9,107.1,-3.3,0.518,2014-15
Detroit Pistons,104.3,105.4,-1.1,0.515,2014-15
Golden State Warriors,110.4,100.4,9.9,0.571,2014-15
Houston Rockets,106.0,102.6,3.4,0.548,2014-15
Indiana Pacers,102.9,102.7,0.2,0.523,2014-15
Los Angeles Clippers,111.6,104.7,6.9,0.565,2014-15
Los Angeles Lakers,102.3,109.4,-7.1,0.513,2014-15
Memphis Grizzlies,104.8,101.2,3.5,0.531,2014-15
Miami Heat,103.2,106.1,-3.0,0.54,2014-15
Milwaukee Bucks,102.0,101.4,0.6,0.536,2014-15
Minnesota Timberwolves,101.8,110.9,-9.1,0.517,2014-15
New Orleans Pelicans,107.1,106.3,0.8,0.537,2014-15
New York Knicks,98.9,109.0,-10.1,0.508,2014-15
Oklahoma City Thunder,106.7,104.6,2.1,0.532,2014-15
Orlando Magic,101.0,106.8,-5.9,0.524,2014-15
Philadelphia 76ers,94.9,103.9,-9.0,0.494,2014-15
Phoenix Suns,104.2,105.3,-1.1,0.537,2014-15
Portland Trail Blazers,107.1,102.8,4.3,0.544,2014-15
