TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Sacramento Kings,2954,6500,494,1408,45.44615384615385,35.08522727272727,2460,5092,48.31107619795758,2005-06
San Antonio Spurs,2993,6342,524,1362,47.19331441185746,38.47283406754772,2469,4980,49.57831325301205,2005-06
Seattle SuperSonics,3077,6711,605,1631,45.85009685590821,37.09380748007358,2472,5080,48.661417322834644,2005-06
Toronto Raptors,3013,6639,608,1620,45.38334086458804,37.53086419753087,2405,5019,47.91791193464834,2005-06
Utah Jazz,2744,6207,311,925,44.20815208635412,33.62162162162162,2433,5282,46.062097690268835,2005-06
Washington Wizards,2975,6656,497,1394,44.69651442307692,35.65279770444763,2478,5262,47.092360319270234,2005-06
Atlanta Hawks,2831,6372,341,1038,44.42875078468298,32.85163776493256,2490,5334,46.681664791901014,2006-07
Boston Celtics,2858,6454,471,1283,44.28261543229005,36.710833982852684,2387,5171,46.16128408431638,2006-07
Charlotte Bobcats,2960,6643,457,1280,44.55818154448291,35.703125,2503,5363,46.6716390080179,2006-07
Chicago Bulls,3046,6663,480,1237,45.71514332883086,38.80355699272433,2566,5426,47.290821968300776,2006-07
Cleveland Cavaliers,2978,6658,494,1404,44.72814659056773,35.18518518518518,2484,5254,47.27826417967263,2006-07
Dallas Mavericks,3010,6442,535,1404,46.724619683328164,38.105413105413106,2475,5038,49.12663755458515,2006-07
Denver Nuggets,3164,6805,484,1440,46.495224099926524,33.611111111111114,2680,5365,49.95340167753961,2006-07
Detroit Pistons,2942,6484,449,1305,45.37322640345466,34.406130268199234,2493,5179,48.136705927785286,2006-07
Golden State Warriors,3261,7048,700,1966,46.268444948921676,35.60528992878942,2561,5082,50.39354584809131,2006-07
Houston Rockets,2906,6528,705,1893,44.51593137254902,37.24247226624406,2201,4635,47.48651564185545,2006-07
Indiana Pacers,2872,6561,481,1389,43.77381496723061,34.62922966162707,2391,5172,46.22969837587007,2006-07
Los Angeles Clippers,2880,6318,314,903,45.58404558404558,34.772978959025465,2566,5415,47.38688827331487,2006-07
Los Angeles Lakers,3103,6664,608,1724,46.563625450180076,35.266821345707655,2495,4940,50.506072874493924,2006-07
Memphis Grizzlies,2998,6448,500,1362,46.49503722084367,36.71071953010279,2498,5086,49.115218246165945,2006-07
Miami Heat,2919,6288,528,1539,46.42175572519084,34.30799220272904,2391,4749,50.347441566645614,2006-07
Milwaukee Bucks,3121,6714,524,1472,46.48495680667262,35.59782608695652,2597,5242,49.542159481114076,2006-07
Minnesota Timberwolves,2997,6502,384,1089,46.09350968932636,35.26170798898072,2613,5413,48.27267688897099,2006-07
New Jersey Nets,2913,6379,609,1676,45.66546480639599,36.33651551312649,2304,4703,48.99000637890708,2006-07
New Orleans/Oklahoma City Hornets,2971,6674,455,1256,44.51603236439916,36.22611464968153,2516,5418,46.43779992617202,2006-07
New York Knicks,2903,6356,474,1370,45.67337948395217,34.5985401459854,2429,4986,48.71640593662254,2006-07
Orlando Magic,2875,6090,342,962,47.20853858784893,35.550935550935556,2533,5128,49.39547581903276,2006-07
Philadelphia 76ers,2932,6408,284,823,45.75530586766542,34.50789793438639,2648,5585,47.41271262309758,2006-07
Phoenix Suns,3388,6855,785,1965,49.42377826404085,39.94910941475827,2603,4890,53.23108384458077,2006-07
Portland Trail Blazers,2874,6392,426,1232,44.96245306633291,34.57792207792208,2448,5160,47.44186046511628,2006-07
Sacramento Kings,2941,6532,530,1513,45.024494794856096,35.029742233972236,2411,5019,48.03745766088862,2006-07
San Antonio Spurs,2999,6328,595,1561,47.39254108723136,38.11659192825112,2404,4767,50.43003985735264,2006-07
Seattle SuperSonics,3047,6628,525,1451,45.97163548581774,36.18194348725017,2522,5177,48.71547228124397,2006-07
Toronto Raptors,3032,6547,531,1464,46.311287612647014,36.27049180327869,2501,5083,49.2032264410781,2006-07
Utah Jazz,3069,6471,354,1056,47.426981919332405,33.52272727272727,2715,5415,50.13850415512465,2006-07
Washington Wizards,3070,6820,561,1614,45.01466275659824,34.75836431226766,2509,5206,48.194391087207066,2006-07
Atlanta Hawks,2975,6552,384,1078,45.4059829059829,35.621521335807046,2591,5474,47.33284618195104,2007-08
Boston Celtics,2986,6286,596,1564,47.50238625517022,38.107416879795394,2390,4722,50.614146548072846,2007-08
Charlotte Bobcats,2960,6554,529,1443,45.16325907842539,36.65973665973666,2431,5111,47.56407747994522,2007-08
Chicago Bulls,2987,6861,474,1305,43.5359277073313,36.321839080459775,2513,5556,45.230381569474446,2007-08
